account_id,account_name,region,pub_time,ip_address,type,machine,behavior_type,behavior_period_time,behavior_log,money_size,sign_up_time,label
ACC_00001,林雪,北京,2026-06-01T07:45:00,10.22.1.5,login,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",app_start_login,10,早高峰通勤期间，使用公司IP正常启动APP并登录,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-01T08:00:15,10.22.1.5,browse,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",short_video,300,在通勤路上刷短视频，符合早高峰行为,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-01T12:30:20,10.22.1.5,transaction,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",online_shopping,120,午休时间浏览并购买生活用品,328,2025-08-22,0
ACC_00001,林雪,北京,2026-06-01T18:35:10,192.168.3.112,browse,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",local_life,180,晚高峰在家浏览本地外卖、生鲜服务,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-01T19:20:05,192.168.3.112,login,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",normal_login,8,晚间在家正常登录账户,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-01T20:05:30,192.168.3.112,browse,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",drama_streaming,3600,晚间在家庭WiFi环境下长时间追剧,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-01T21:30:45,192.168.3.112,search,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",content_search,120,在家庭社交群中搜索并分享内容,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-01T22:15:20,192.168.3.112,transaction,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",utility_payment,60,使用家庭IP在线支付水电费，金额符合常态,150,2025-08-22,0
ACC_00001,林雪,北京,2026-06-01T23:00:00,192.168.3.112,browse,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",app_exit,5,结束当日活动，退出应用,0,2025-08-22,0
ACC_00001,林雪,北京,2026-06-02T07:50:30,10.22.1.6,login,"HUAWEI Mate 60 Pro, HarmonyOS 4.2.0, Huawei Browser 15.0.4.310 (设备指纹: Huawei_Mate60Pro_HarmonyOS4_HuaweiBrowser)",app_start_login,12,周二早高峰，使用公司网络登录,0,2025-08-22,0
